actorid,tag,tfidfweight
938435,best war films,0.526539134357
938435,war,0.292430080771
938435,nudity (rear),0.225159256465
938435,wwii,0.186909873837
1014988,cannibalism,1.32007928133
1014988,psychology,1.2834981826
1014988,serial killer,1.26469212471
1014988,atmospheric,0.672389955348
1014988,boring,0.501469593763
1014988,hannibal lecter,0.493401472785
1049512,motorcycle,1.81730140289
1061413,san francisco,2.57771948405
1069742,nudity (topless - notable),0.786469988588
1069742,cool,0.574904644739
1069742,hackers,0.4563505391
1069742,hacking,0.422323659948
1069742,action,0.365703707713
1069742,over the top,0.28302571512
1158040,interesting,2.28768905883
1198397,pointless,3.1709982769
1198397,predictable,1.46060366762
1229838,court,0.921476340329
1229838,terrorism,0.726479147548
1253701,history,1.50982491081
1273531,violent,0.961974196023
1273531,slapstick,0.426170619167
1273531,gore,0.315966122434
1273531,hilarious,0.241502606432
1290791,world war ii,3.48882650714
1290791,best war films,1.05307826871
1290791,war,0.584860161542
1290791,nudity (rear),0.450318512931
1290791,wwii,0.373819747673
1292135,comedy,4.35741776564
1297720,animation,0.528496155409
1297720,animated,0.487983440449
1297720,redemption,0.38108967618
1297720,cartoon,0.289803127719
1297720,talking animals,0.242289745262
1297720,disney,0.145323009176
1309137,animation,0.792744233114
1309137,animated,0.731975160673
1309137,redemption,0.571634514269
1309137,cartoon,0.434704691578
1309137,talking animals,0.363434617892
1309137,disney,0.217984513764
1335137,based on a tv show,1.09615625087
1335137,drugs,0.725089102429
1342347,cannibalism,0.330019820332
1342347,psychology,0.320874545651
1342347,serial killer,0.316173031177
1342347,atmospheric,0.168097488837
1342347,boring,0.125367398441
1342347,hannibal lecter,0.123350368196
1405458,family,0.947889157495
1405458,based on book,0.798420746845
1483828,history,1.13236868311
1606367,espionage,7.4462222978
1698048,cannibalism,0.44002642711
1698048,psychology,0.427832727534
1698048,serial killer,0.421564041569
1698048,atmospheric,0.224129985116
1698048,boring,0.167156531254
1698048,hannibal lecter,0.164467157595
1726318,violent,0.721480647017
1726318,slapstick,0.319627964376
1726318,gore,0.236974591826
1726318,hilarious,0.181126954824
1792455,zombies,0.766693506248
1792455,zombie,0.230261849293
1792455,remake,0.124199983869
1792455,nudity (topless - brief),0.112779948081
1792455,directorial debut,0.0989356354028
1792455,action,0.0946174931366
1793283,geeks,4.89190894249
1808442,dreamworks,2.44492553245
1808442,pirates,2.19931733221
1808442,swashbuckler,1.46833650424
1839848,based on a tv show,3.28846875262
1839848,drugs,2.17526730729
1860883,magic,2.0329413009
1860883,harry potter,1.13836548994
1860883,witch,0.571640026914
1860883,time travel,0.554223494435
1860883,fantasy,0.407108995213
1860883,franchise,0.360375205868
1860883,wizards,0.217591546434
1860883,sequel,0.217511117185
1892087,san francisco,7.73315845215
1907368,zombies,0.800028006519
1907368,computer animation,0.335288195668
1907368,zombie,0.240273234045
1907368,video game adaptation,0.216970036623
1907368,sci-fi,0.195189955681
1907368,anime,0.133878176969
1907368,remake,0.129599983168
1907368,nudity (topless - brief),0.117683424084
1907368,directorial debut,0.103237184768
1907368,action,0.098731297186
1907368,cgi,0.0971738349325
1907368,fish,0.0801274773108
1929540,geeks,1.22297723562
1953875,animation,1.58548846623
1953875,animated,1.46395032135
1953875,redemption,1.14326902854
1953875,cartoon,0.869409383156
1953875,talking animals,0.726869235785
1953875,disney,0.435969027528
2055016,court,2.76442902099
2055016,terrorism,2.17943744264
2082212,boxing,0.657300219893
2082212,dumb but funny,0.557545792219
2149685,murder,1.07953000138
2149685,not funny,0.95056401221
2197978,murder,3.23859000415
2197978,not funny,2.85169203663
2260528,buddy movie,0.816135855382
2260528,not funny,0.664168646931
2260528,england,0.489445367676
2312401,nudity (topless - notable),1.57293997718
2312401,cool,1.14980928948
2312401,hackers,0.912701078201
2312401,hacking,0.844647319895
2312401,action,0.731407415427
2312401,over the top,0.566051430241
2355195,history,4.52947473244
2392683,animation,0.396372116557
2392683,animated,0.365987580337
2392683,redemption,0.285817257135
2392683,cartoon,0.217352345789
2392683,talking animals,0.181717308946
2392683,disney,0.108992256882
2436599,zombies,1.02225800833
2436599,zombie,0.307015799058
2436599,remake,0.165599978492
2436599,nudity (topless - brief),0.150373264108
2436599,directorial debut,0.131914180537
2436599,action,0.126156657515
2454190,crime,1.53922720043
2476125,murder,0.809647501037
2476125,not funny,0.712923009158
2481470,not funny,1.16809018956
2481470,buddy movie,0.734522269844
2481470,murder,0.64771800083
2481470,england,0.440500830908
2520743,crime,1.15442040032
2532241,comedy,2.17870888282
2605571,family,1.89577831499
2605571,based on book,1.59684149369
2613454,musicians,2.12484759743
2665816,nudity (topless - notable),0.524313325725
2665816,cool,0.38326976316
2665816,hackers,0.304233692734
2665816,hacking,0.281549106632
2665816,action,0.243802471809
2665816,over the top,0.18868381008
2731923,musicians,8.49939038973
2746767,based on a tv show,0.822117188155
2746767,drugs,0.543816826822
2805154,violent,1.44296129403
2805154,slapstick,0.639255928751
2805154,gore,0.473949183651
2805154,hilarious,0.362253909648
2805709,geeks,1.63063631416
2805709,history,0.754912455407
2946264,magic,0.677647100299
2946264,harry potter,0.379455163313
2946264,witch,0.190546675638
2946264,time travel,0.184741164812
2946264,fantasy,0.135702998404
2946264,franchise,0.120125068623
2946264,wizards,0.072530515478
2946264,sequel,0.0725037057284
2961547,geeks,1.63063631416
2963551,crime,4.61768160128
2991079,comic book,0.981824973691
2991079,superhero,0.729670130438
2991079,bad acting,0.283571834078
2991079,marvel,0.2793752288
2991079,heroine in tight suit,0.27035635912
2991079,dark,0.230366555444
2991079,action,0.210833683197
2997171,based on a tv show,1.64423437631
2997171,drugs,1.08763365364
3191522,interesting,1.52512603922
3257358,violent,2.88592258807
3257358,slapstick,1.2785118575
3257358,gore,0.947898367303
3257358,hilarious,0.724507819296
3373644,interesting,1.14384452941
3426176,cannibalism,0.660039640665
3426176,psychology,0.641749091302
3426176,serial killer,0.632346062354
3426176,atmospheric,0.336194977674
3426176,boring,0.250734796881
3426176,hannibal lecter,0.246700736393
3464199,court,1.38221451049
3464199,terrorism,1.08971872132
3544742,dreamworks,0.814975177485
3544742,pirates,0.733105777404
3544742,swashbuckler,0.489445501413
3558986,zombies,3.06677402499
3558986,zombie,0.921047397173
3558986,remake,0.496799935476
3558986,nudity (topless - brief),0.451119792323
3558986,directorial debut,0.395742541611
3558986,action,0.378469972546
3568607,musicians,2.83313012991
3632088,pointless,1.58549913845
3632088,predictable,0.730301833811
3650577,boxing,2.62920087957
3650577,dumb but funny,2.23018316888
3704908,magic,0.508235325224
3704908,harry potter,0.284591372484
3704908,witch,0.142910006729
3704908,time travel,0.138555873609
3704908,fantasy,0.101777248803
3704908,franchise,0.0900938014671
3704908,wizards,0.0543978866085
3704908,sequel,0.0543777792963
3747431,espionage,2.48207409927
3762843,espionage,1.86155557445
3763705,crime,2.30884080064
3807179,san francisco,3.86657922607
3898471,world war ii,1.16294216905
3898471,best war films,0.351026089572
3898471,war,0.194953387181
3898471,nudity (rear),0.150106170977
3898471,wwii,0.124606582558
3900269,computer animation,2.10317140919
3900269,video game adaptation,1.36099386609
3900269,sci-fi,1.22437335836
3900269,anime,0.839781291899
3900269,cgi,0.609544964577
3900269,fish,0.502617812222
3951524,dreamworks,1.22246276623
3951524,pirates,1.09965866611
3951524,swashbuckler,0.734168252119
